uuid,First_Name,Middle_Name,Last_Name,Name_Data_Quality,SSN,SSNDataQuality,DOB,DOBDataQuality,AmIndAKNative,Asian,Black,NativeHIOtherPacific,White,RaceNone,Gender,OtherGender,VeteranStatus,YearEnteredService,YearSeparated,WorldWarII,KoreanWar,VietnamWar,DesertStorm,AfghanistanOEF,IraqOIF,IraqOND,OtherTheater,MilitaryBranch,Discharge_Status,Date_Created,DateUpdated,UserID
114494,,,,99,100114494,1,1/1/1955,1,0,0,1,0,0,0,0,0,1,1982,1993,0,0,0,0,0,0,0,0,1,1,3/14/2000 5:21,9/23/2015 10:22,244892
115207,Linda,Rose,Afghani,1,100115207,1,1/1/1964,1,0,0,1,0,0,0,1,0,1,1985,1986,0,0,0,0,0,0,0,0,1,2,3/14/2000 5:21,10/21/2015 10:37,245092
117712,Margaret,W,Griffin,1,100117712,1,1/1/1958,1,0,0,0,0,1,0,1,0,1,1975,1976,0,0,0,0,0,0,0,0,3,2,3/6/2008 9:05,2/18/2016 10:29,246539
117753,Denise,M,Moore,1,100117753,1,1/1/1976,1,0,0,1,0,0,0,1,0,1,1995,1998,0,0,0,0,0,0,0,0,3,2,3/11/2008 9:05,12/17/2015 3:01,243007
119351,Steven,D,Sinder,1,100119351,1,1/1/1954,1,0,0,1,0,0,0,1,0,1,1971,1973,0,0,1,0,0,0,0,0,1,1,8/20/2008 2:48,10/29/2015 10:25,248348
122787,John,A,Gluecksmann,1,100122787,1,1/1/1959,1,0,0,1,0,0,0,1,0,1,1980,2006,0,0,0,1,0,0,0,0,1,1,8/17/2009 3:20,1/12/2016 2:34,245092
123267,Paul,A,Pomata,1,100123267,1,1/1/1957,1,0,0,1,0,0,0,1,0,1,1977,1977,0,0,0,0,0,0,0,0,1,1,3/14/2000 5:22,11/23/2015 1:41,246539
123866,Paul,,Ellsworth,1,100123866,1,1/1/1961,1,0,0,1,0,0,0,0,0,1,1980,1983,0,0,0,0,0,0,0,0,1,1,3/14/2000 5:22,11/6/2015 1:03,246539
125689,Robert,,Harlow,1,100125689,1,1/1/1963,1,0,0,1,0,0,0,1,0,1,1983,1987,0,0,0,0,0,0,0,0,1,1,3/14/2000 5:22,12/8/2015 1:03,245881
127185,Craig,J,Fournier,1,100127185,1,1/1/1953,1,0,0,0,0,1,0,1,0,1,1976,1976,0,0,0,0,0,0,0,0,4,1,1/6/2010 9:20,1/19/2016 7:59,248350
130741,Veruska,A.,Zhang,1,100130741,1,1/1/1953,1,0,0,0,0,1,0,1,0,1,1971,1973,0,0,1,0,0,0,0,0,3,1,8/7/2000 3:25,10/8/2015 1:12,244583
131634,Berkan,C.,Robinson,1,100131634,1,1/1/1959,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,6/28/2010 8:26,12/11/2015 5:34,86270
132995,Byron,Kerem,De Pinho,1,100132995,1,1/1/1980,1,0,0,1,0,0,0,1,0,1,1999,2012,0,0,0,0,1,0,0,0,1,2,10/21/2010 8:52,11/23/2015 7:43,182894
134073,James,Donald,Grillo,2,4973,2,1/1/1964,1,0,0,1,0,0,0,1,0,1,1982,1986,0,0,0,0,0,0,0,0,1,1,11/1/2010 11:32,2/22/2016 4:51,245092
134315,Karl,E,Herring,1,,99,1/1/1975,1,0,0,0,0,1,0,0,0,1,1997,1997,0,0,0,0,0,0,0,0,1,7,11/29/2010 8:21,10/16/2015 9:35,248348
134325,David,G,MacNichol,1,100134325,1,1/1/1961,1,0,0,0,0,1,0,1,0,1,1982,1984,0,0,0,0,0,0,0,0,2,1,11/29/2010 2:47,12/17/2015 2:08,246539
136170,Jeffrey,M,Terrano,1,100136170,1,1/1/1985,1,0,0,1,0,0,0,1,0,1,1985,2012,0,0,0,0,1,0,0,0,1,2,7/7/2000 11:41,12/8/2015 12:58,246539
136673,Bryon,S,Veschi,1,100136673,1,1/1/1956,1,0,0,1,0,0,0,1,0,1,1976,1985,0,0,0,0,0,0,0,0,1,1,2/9/2001 2:10,8/12/2015 8:51,245092
137072,John,A,Giugliano,1,100137072,1,1/1/1967,1,0,0,1,0,0,0,1,0,1,1988,1994,0,0,0,0,0,0,0,0,1,1,3/27/2001 8:10,12/15/2015 3:11,182894
143804,Lee,A,Zhang,1,100143804,1,1/1/2000,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,4/1/2002 2:56,4/1/2002 2:56,11
152213,David,Alfred,Bobys,1,100152213,1,1/1/2004,1,0,0,1,0,0,0,3,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,8/9/2004 9:16,8/9/2004 9:16,11
160329,Steven,L,Evans,1,100160329,1,1/1/1991,1,0,0,1,0,0,0,1,0,1,2010,2012,0,0,0,0,0,0,0,0,1,2,11/1/2006 7:03,2/6/2016 5:16,244492
161215,Philip,E,Imperato,2,100161215,1,1/1/1998,1,0,0,1,0,0,0,0,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,3/21/2007 3:20,12/11/2015 1:08,245881
161216,Matthew,P,Leonard,1,100161216,1,1/1/2000,1,0,0,1,0,0,0,0,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,3/21/2007 3:21,12/17/2015 11:50,245881
172674,John,Andrew,Bouscaren,1,100172674,1,1/1/1954,1,0,0,1,0,0,0,1,0,1,1972,1974,0,0,0,0,0,0,0,0,4,2,9/13/2001 1:55,10/19/2015 10:24,246539
172797,Kevin,L,Hwung,1,100172797,1,1/1/1960,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,1,1,9/27/2001 11:01,7/23/2015 8:50,182894
174662,Alan,H,Kundrat,1,100174662,1,1/1/1976,1,0,0,1,0,0,0,2,0,1,1994,1996,0,0,0,0,0,0,0,0,3,1,4/1/2002 2:52,2/3/2016 3:27,248348
174821,James,J,Mayer,1,100174821,1,1/1/1966,1,0,0,1,0,0,0,1,0,1,1996,1999,0,0,0,1,0,0,0,0,1,1,4/16/2002 11:22,12/21/2015 9:20,178107
176504,Sundar,A,Simon,1,100176504,1,1/1/1960,1,0,0,1,0,0,0,1,0,1,1978,1980,0,0,0,0,0,0,0,0,1,6,8/27/2002 10:24,1/19/2016 9:03,182894
176962,Lorraine,J,Marsh,1,100176962,1,1/1/1958,1,0,0,1,0,0,0,1,0,1,1977,1980,0,0,0,0,0,0,0,0,4,1,6/14/2011 6:54,10/13/2015 12:41,246539
177592,Ann,E,Carmack,1,100177592,1,1/1/1967,1,0,0,0,0,1,0,99,1,1,1987,1984,0,0,0,0,0,0,0,0,2,1,7/29/2011 1:48,2/4/2016 8:32,249427
180884,Colene,Kulprathipanja,Downing,1,100180884,1,1/1/1954,1,0,0,1,0,0,0,1,0,1,1972,1973,0,0,0,0,0,0,0,0,4,2,1/25/2012 10:13,8/14/2015 12:34,245076
181183,Kevin,Elizabeth Hartman,Nguyen,1,100181183,1,1/1/1961,1,0,0,1,0,0,0,1,0,1,1983,1984,0,0,0,0,0,0,0,0,1,6,2/10/2012 10:34,2/29/2016 6:00,248351
182784,Trisha,W,Ford,1,100182784,1,1/1/1963,1,0,0,1,0,0,0,1,0,1,1990,1991,0,0,0,0,0,0,0,0,1,2,5/24/2012 4:16,2/4/2016 12:03,248351
183833,Gregory,Durbin,Ennis,1,100183833,1,1/1/1981,1,0,0,1,0,0,0,1,0,1,2002,2003,0,0,0,0,0,0,0,0,1,1,7/30/2012 4:36,2/4/2016 9:07,249221
185836,Scott,D,Wang,1,100185836,1,1/1/1970,1,0,0,1,0,0,0,1,0,1,1996,2005,0,0,0,0,1,1,0,0,3,1,12/14/2012 9:55,10/28/2015 2:36,246539
187565,Melissa,A,Samonek,1,100187565,1,1/1/1955,1,0,0,1,0,0,0,1,0,1,1977,1983,0,0,0,0,0,0,0,0,1,1,4/22/2013 2:49,1/4/2016 8:41,245092
188821,Adam,Evans,Roth,1,100188821,1,1/1/1951,1,0,0,1,0,0,0,1,0,1,1971,1972,0,0,0,0,0,0,0,0,1,6,8/2/2013 1:14,10/28/2015 10:38,182894
189044,Elizabeth,S,Tapia,1,100189044,1,1/1/1960,1,0,0,1,0,0,0,0,0,1,1979,1980,0,0,0,0,0,0,0,0,1,1,8/22/2013 10:05,2/1/2016 1:40,245094
189603,Michael,S,Weins,1,100189603,1,1/1/1971,1,0,0,1,0,0,0,0,0,1,1989,1990,0,0,0,0,0,0,0,0,1,7,10/2/2013 11:00,10/26/2015 7:52,245094
189605,Stephen,G,Lipski,1,100189605,1,1/1/2002,1,0,0,1,0,0,0,9,1,0,NULL,NULL,0,0,0,0,0,0,0,0,,,10/2/2013 5:03,10/22/2015 1:49,245094
189606,Philip,L.,Ahsan,1,100189606,1,1/1/2008,1,0,0,1,0,0,0,99,1,0,NULL,NULL,0,0,0,0,0,0,0,0,,,10/2/2013 5:05,10/26/2015 7:52,245094
238430,Erik,Y,Ai,1,100238430,1,1/1/1963,1,0,0,0,0,1,0,1,0,1,1981,1985,0,0,0,0,0,0,0,0,3,1,12/13/2013 12:46,2/5/2016 7:17,245094
238431,Philip,M.,Ali,1,100238431,1,1/1/1962,1,0,0,0,0,1,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,12/13/2013 12:47,2/5/2016 7:19,245094
238583,Dena,J,Schloff,1,100238583,1,1/1/1968,1,0,0,1,0,0,0,1,0,1,1989,1996,0,0,0,1,0,0,0,0,3,1,1/8/2014 2:01,7/28/2015 8:55,188978
238612,Nicole,Marie VanDeVoort,Schonberger,1,100238612,1,1/1/1969,1,0,0,1,0,0,0,1,0,1,1996,2011,0,0,0,0,0,1,0,0,1,1,1/14/2014 7:30,1/11/2016 9:06,248348
238817,Dean,J,Perkins,1,100238817,1,1/1/1955,1,0,0,1,0,0,0,1,0,1,1973,1947,0,0,1,0,0,0,0,0,4,1,2/4/2014 7:51,11/10/2015 9:07,182894
239479,Carolyn,A,Owens,1,100239479,1,1/1/1956,1,0,0,1,0,0,0,1,0,1,1974,1976,0,0,0,0,0,0,0,0,3,2,4/8/2014 9:44,2/12/2016 10:34,246539
239861,Yen,A,Smith,1,100239861,1,1/1/1961,1,0,0,1,0,0,0,1,0,1,1979,1982,0,0,0,0,0,0,0,0,3,1,5/13/2014 12:38,2/12/2016 2:57,86250
240059,Lisa,Tong,Heydon,1,100240059,1,1/1/1953,1,0,0,1,0,0,0,1,0,1,1974,1979,0,0,0,0,0,0,0,0,2,1,5/27/2014 2:12,11/19/2015 9:03,182894
240178,Christopher,P,Chiang,1,100240178,1,1/1/1949,1,0,0,1,0,0,0,1,0,1,1968,1971,0,0,0,0,0,0,0,0,1,1,6/9/2014 8:30,2/15/2016 9:47,86250
240179,Melanie,Michael,Whitaker,1,100240179,1,1/1/2007,1,0,0,1,0,0,0,0,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,6/9/2014 8:32,12/11/2015 1:54,245094
240180,Kevin,G,Mancini,2,180,2,1/1/2008,1,0,0,1,0,0,0,1,0,99,,,0,0,0,0,0,0,0,0,,,6/9/2014 8:33,1/14/2016 7:30,182894
240460,Kathleen,R,Cronin,1,100240460,1,1/1/1965,1,0,0,1,0,0,0,0,0,1,1988,1990,0,0,0,0,0,0,0,0,1,1,7/7/2014 12:47,11/6/2015 2:51,86270
240712,Dean,M. B.,McQueeney,1,100240712,1,1/1/1983,1,0,0,1,0,0,0,0,0,1,2001,2011,0,0,0,0,0,0,0,0,3,1,7/29/2014 2:18,2/25/2015 7:49,241427
240713,Irina,M,Haynes,1,100240713,1,1/1/2005,1,0,0,1,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,7/29/2014 2:21,12/9/2015 10:43,248678
240714,Robert,,Murray,1,100240714,1,1/1/2011,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,7/29/2014 2:23,7/29/2014 2:23,187044
240942,,,,99,,99,1/1/1955,1,0,0,1,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,,,8/18/2014 12:23,8/18/2014 12:23,186063
241104,Lynn,C,Zelson,1,100241104,1,1/1/1979,1,0,0,1,0,0,0,1,0,1,1998,2003,0,0,0,0,0,0,0,0,3,4,9/5/2014 2:13,1/13/2016 1:13,86250
241169,Daniel,R,Beldon,1,100241169,1,1/1/1957,1,0,0,1,0,0,0,1,0,1,1974,1974,0,0,0,0,0,0,0,0,1,1,9/12/2014 8:03,7/20/2015 10:44,188978
243168,Robert,J,Boyer,1,100243168,1,1/1/1978,1,0,0,1,0,0,0,0,0,1,1997,2009,0,0,0,0,0,0,0,0,3,1,10/28/2014 2:31,11/12/2015 10:30,182894
243183,James,H,Carr-Trexler,1,100243183,1,1/1/1968,1,0,0,0,0,1,0,0,0,1,1989,1992,0,0,0,0,0,0,0,0,2,1,10/29/2014 9:20,10/29/2014 9:20,239008
243203,Janet,A,Hoke,1,100243203,1,1/1/1968,1,0,0,0,0,1,0,0,0,1,1989,1992,0,0,0,0,0,0,0,0,2,1,10/30/2014 8:20,3/10/2015 2:01,239008
243213,Harold,A,Jones,1,100243213,1,1/1/2005,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,10/30/2014 10:01,10/30/2014 10:21,86070
244633,Kent,C,Kiernan,1,100244633,1,1/1/1970,1,0,0,0,0,1,0,1,0,1,1989,1990,0,0,0,0,0,0,0,0,1,1,12/5/2014 7:48,9/29/2015 12:00,245076
244634,Johannes,S,Morris,1,100244634,1,1/1/1982,1,0,0,0,0,1,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,12/5/2014 8:12,9/29/2015 12:00,245076
244636,Bruce,P. M.,Rodgers,1,100244636,1,1/1/1996,1,0,0,0,0,1,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,12/5/2014 8:16,9/29/2015 12:00,245076
244637,Julie,A,Schaal,1,100244637,1,1/1/2003,1,0,0,0,0,1,0,0,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,12/5/2014 8:18,9/29/2015 12:00,245076
244638,Jean,A.,Yang,1,100244638,1,1/1/2004,1,0,0,0,0,1,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,12/5/2014 8:20,9/29/2015 12:00,245076
244639,Eloise,A,Chaskar,1,100244639,1,1/1/2006,1,0,0,0,0,1,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,12/5/2014 8:21,9/29/2015 12:00,245076
244640,Daniel,J,DiRico,1,100244640,1,1/1/2008,1,0,0,0,0,1,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,12/5/2014 8:24,9/29/2015 12:00,245076
245181,Aleksander,R,Kammlade,1,100245181,1,1/1/1962,1,0,0,0,0,1,0,1,0,1,1981,1983,0,0,0,0,0,0,0,0,1,1,1/26/2015 8:01,2/23/2016 5:49,245881
245199,Michelle,,Sorensen,1,100245199,1,1/1/1989,1,0,0,1,0,1,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,1/26/2015 1:15,8/3/2015 10:05,86270
245519,William,M,Dabbiere,1,100245519,1,1/1/1962,1,0,0,0,0,1,0,1,0,1,1979,1981,0,0,0,0,0,0,0,0,1,2,2/13/2015 12:17,7/6/2015 8:36,245092
245538,Robert,D,Aitken,1,100245538,1,NULL,99,0,0,0,0,1,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,2/17/2015 9:58,7/6/2015 8:40,245092
245678,Sandra,S.,Pathak,1,100245678,1,1/1/1987,1,0,0,0,0,1,0,1,0,1,2008,2012,0,0,0,0,0,0,0,0,3,2,2/26/2015 12:07,7/20/2015 2:00,188978
245693,Jeffrey,K,Cuticchia,1,100245693,1,1/1/1963,1,0,0,1,0,0,0,1,0,1,1984,1987,0,0,0,0,0,0,0,0,1,1,2/27/2015 9:37,6/29/2015 3:19,245076
245694,Peter,M,Lim,1,100245694,1,1/1/1964,1,0,0,1,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,2/27/2015 9:39,2/4/2016 2:07,248351
245780,David,L,Aka,1,100245780,1,1/1/1956,1,0,0,0,0,1,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,3/6/2015 7:50,12/29/2015 9:36,246539
245839,Steven,B,Chan,2,5839,2,1/1/1954,1,0,0,1,0,0,0,1,0,1,1974,1976,0,0,0,0,0,0,0,0,4,1,3/11/2015 8:37,11/2/2015 8:21,182894
245920,Ronnie,J,Nguyen,2,5920,2,1/1/2005,1,0,0,1,0,0,0,0,0,99,,,0,0,0,0,0,0,0,0,,,3/18/2015 9:52,8/4/2015 1:18,181017
245921,Ted,L,Matt,2,5921,2,1/1/2007,1,0,0,1,0,0,0,1,0,99,,,0,0,0,0,0,0,0,0,,,3/18/2015 9:54,8/4/2015 1:18,181017
246076,Gregg,K,Collins,1,100246076,1,1/1/1959,1,0,0,1,0,0,0,0,0,1,1988,1987,0,0,0,0,0,0,0,0,2,1,3/30/2015 9:51,8/5/2015 2:51,245076
246077,David,H,Davis,1,100246077,1,1/1/1997,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,3/30/2015 9:53,3/30/2015 9:54,245076
246106,Thomas,J,Chiabotti,1,100246106,1,1/1/1957,1,0,0,1,0,0,0,1,0,1,1976,1976,0,0,0,0,0,0,0,0,3,1,3/31/2015 9:48,1/13/2016 7:55,248351
246346,Robert,M,Dixon,1,100246346,1,1/1/1958,1,0,0,1,0,0,0,1,0,1,1979,1980,0,0,0,0,0,0,0,0,4,1,4/23/2015 2:28,4/23/2015 2:28,245076
246396,Pamela,W,Harris,1,100246396,1,1/1/1955,1,0,0,1,0,0,0,1,0,1,1976,1985,0,0,0,0,0,0,0,0,4,7,4/30/2015 8:16,9/1/2015 1:33,177827
246411,Kristofor,Lorena,Passler,1,100246411,1,1/1/1957,1,0,0,1,0,0,0,1,0,1,1978,1982,0,0,0,0,0,0,0,0,1,1,5/1/2015 9:36,2/15/2016 5:27,248348
246433,Emily,L,Zachariah,1,100246433,1,1/1/1966,1,0,0,0,0,1,0,1,0,1,1988,2008,0,0,0,1,0,1,0,0,1,1,5/4/2015 12:11,10/28/2015 9:49,244892
246586,Lance,M,Hinson,1,100246586,1,1/1/1956,1,0,0,1,0,0,0,1,0,1,1973,1975,0,0,1,0,0,0,0,0,1,1,5/18/2015 10:29,10/13/2015 10:26,245076
246662,Amy,L,Smith,1,100246662,1,1/1/1972,1,0,0,1,0,0,0,1,0,1,1992,1993,0,0,0,0,0,0,0,0,4,6,5/21/2015 12:45,2/4/2016 2:54,86270
246696,Anna,L,Burke,1,100246696,1,1/1/1965,1,0,0,0,0,1,0,0,0,1,1993,1993,0,0,0,0,0,0,0,0,2,7,5/26/2015 10:00,12/15/2015 12:46,245881
246760,Michael,A,DeGrasse,1,100246760,1,1/1/1967,1,0,0,1,0,0,0,0,0,1,1986,1987,0,0,0,0,0,0,0,0,1,1,5/29/2015 2:16,12/9/2015 12:00,248678
246799,Kenneth,G.,Graff,1,100246799,1,1/1/1973,1,0,0,1,0,0,0,1,0,1,1991,1993,0,0,0,1,0,0,0,0,1,1,6/2/2015 2:37,7/14/2015 12:07,245076
246850,Bradford,B,MacDonald,1,100246850,1,1/1/2008,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,6/4/2015 2:09,7/31/2015 8:29,245076
246885,Alan,B,Mixon,1,100246885,1,1/1/1958,1,0,0,1,0,0,0,1,0,1,1977,1980,0,0,0,0,0,0,0,0,4,1,8/31/2015 2:27,10/9/2015 1:06,245881
246889,William,,Raucci,1,100246889,1,1/1/1957,1,0,0,1,0,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,6/8/2015 10:49,10/9/2015 1:06,245881
246890,Anthony,R,Martin,1,100246890,1,1/1/2004,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,6/8/2015 10:51,10/9/2015 1:06,245881
246891,Victor,G,LLagostera,1,100246891,1,1/1/2009,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,6/8/2015 10:53,10/9/2015 1:06,245881
246930,Allen,Martin,Brown,1,100246930,1,1/1/2010,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,6/10/2015 9:48,7/31/2015 8:29,245076
246938,Leong,J,Landis,1,100246938,1,1/1/1951,1,0,0,0,0,1,0,1,0,1,1969,1972,0,0,0,0,0,0,0,0,3,1,6/10/2015 1:11,1/12/2016 2:03,245092
246946,Timothy,Chi,Tatachar,1,100246946,1,1/1/1967,1,0,0,0,0,1,0,0,0,1,1985,1989,0,0,0,0,0,0,0,0,3,1,6/10/2015 2:10,10/28/2015 1:46,246539
246952,Les,W,Carrano,1,100246952,1,1/1/1964,1,0,0,1,0,0,0,1,0,1,1983,1986,0,0,0,0,0,0,0,0,4,1,6/11/2015 8:07,10/9/2015 10:05,178107
246960,James,A,Clonts,1,100246960,1,1/1/1966,1,0,0,1,0,0,0,0,0,1,1984,1988,0,0,0,0,0,0,0,0,4,1,6/11/2015 12:12,11/9/2015 1:50,245094
247032,Alexandra,G,Elderkin,1,100247032,1,1/1/1957,1,0,0,1,0,0,0,1,0,1,1978,1981,0,0,0,0,0,0,0,0,1,1,6/17/2015 8:08,11/30/2015 1:06,182894
247045,Robert,J,Garcia,1,100247045,1,1/1/1983,1,0,0,1,0,0,0,0,0,1,2002,2005,0,0,0,0,0,1,0,0,1,1,6/17/2015 12:12,12/14/2015 9:52,246539
247093,Anthony,W,Hewitt,1,100247093,1,1/1/1949,1,0,0,1,0,0,0,1,0,1,1970,1972,0,0,0,0,0,0,0,0,1,1,6/22/2015 12:06,10/15/2015 10:18,182894
247128,Albert,Randall,Johnson,1,100247128,1,1/1/2010,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,6/24/2015 12:18,10/27/2015 10:06,178970
247129,Emmett,F,Johnson,1,100247129,1,1/1/2011,1,0,0,1,0,0,0,1,0,99,NULL,NULL,0,0,0,0,0,0,0,0,,,6/24/2015 12:18,10/27/2015 10:07,178970
247130,Anthony,S,Joyner,1,100247130,1,1/1/1985,1,0,0,1,0,0,0,1,0,0,NULL,NULL,0,0,0,0,0,0,0,0,,,6/24/2015 12:20,10/28/2015 12:40,246539
247171,Darnita,J,Klein,1,100247171,1,1/1/1960,1,0,0,1,0,0,0,1,0,1,1979,1983,0,0,0,0,0,0,0,0,2,1,6/29/2015 8:58,6/30/2015 8:44,178547
247191,Angela,Y,Maslowski,1,100247191,1,1/1/1959,1,0,0,1,0,0,0,0,0,1,1983,1986,0,0,0,0,0,0,0,0,1,1,6/30/2015 1:11,6/30/2015 1:12,245076
247238,Chester,S,Mikson,1,100247238,1,1/1/1979,1,0,0,1,0,0,0,0,0,1,2005,2009,0,0,0,0,0,0,0,0,1,1,7/6/2015 9:55,7/6/2015 9:55,245076
